Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1GenderFeature,Opt2GenderFeature
bee landed on flower because it had pollen. ,what does it refer to? ,it refers to bee ,it refers to flower ,flower ,1 ,bee ,flower ,1 ,1 
jimbo was afraid of bobbert because she was running around with a bloody spear. ,what was running around with a bloody spear? ,jimbo was running around with a bloody spear ,bobbert was running around with a bloody spear ,bobbert ,1 ,jimbo ,bobbert ,0 ,1 
man stole neighbor's bike because he needed one. ,what does he refer to? ,he refers to man ,he refers to neighbor ,man ,0 ,man ,neighbor ,1 ,1 
man stole neighbor's bike because he needed one. ,what needed one? ,man needed one ,neighbor needed one ,man ,0 ,man ,neighbor ,1 ,1 
man stole neighbor's bike because he had one extra. ,what does he refer to? ,he refers to man ,he refers to neighbor ,neighbor ,1 ,man ,neighbor ,1 ,1 
man stole neighbor's bike because he had one extra. ,what had one extra? ,man had one extra ,neighbor had one extra ,neighbor ,1 ,man ,neighbor ,1 ,1 
bird ate pie and it died. ,what does it refer to? ,it refers to bird ,it refers to pie ,bird ,0 ,bird ,pie ,1 ,1 
bird ate pie and it died. ,what died? ,bird died ,pie died ,bird ,0 ,bird ,pie ,1 ,1 
bird ate pie and it was ruined. ,what does it refer to? ,it refers to bird ,it refers to pie ,pie ,1 ,bird ,pie ,1 ,1 
bird ate pie and it was ruined. ,what was ruined? ,bird was ruined ,pie was ruined ,pie ,1 ,bird ,pie ,1 ,1 
bird perched on limb and it bent. ,what does it refer to? ,it refers to bird ,it refers to limb ,limb ,1 ,bird ,limb ,1 ,1 
bird perched on limb and it bent. ,what bent? ,bird bent ,limb bent ,limb ,1 ,bird ,limb ,1 ,1 
bird perched on limb and it sang. ,what does it refer to? ,it refers to bird ,it refers to limb ,bird ,0 ,bird ,limb ,1 ,1 
bird perched on limb and it sang. ,what sang? ,bird sang ,limb sang ,bird ,0 ,bird ,limb ,1 ,1 
mary cleaned susan's room and she was thankful. ,what does she refer to? ,she refers to mary ,she refers to susan ,susan ,1 ,mary ,susan ,1 ,1 
mary cleaned susan's room and she was thankful. ,what was thankful? ,mary was thankful ,susan was thankful ,susan ,1 ,mary ,susan ,1 ,1 
mary cleaned susan's room and she asked a favor. ,what does she refer to? ,she refers to mary ,she refers to susan ,mary ,0 ,mary ,susan ,1 ,1 
mary cleaned susan's room and she asked a favor. ,what asked a favor? ,mary asked a favor ,susan asked a favor ,mary ,0 ,mary ,susan ,1 ,1 
"mary stabbed jennifer, so john took her to hospital. ",what does her refer to? ,her refers to mary ,her refers to jennifer ,jennifer ,1 ,mary ,jennifer ,1 ,1 
"mary stabbed jennifer, so john took her to hospital. ",what to hospital? ,mary to hospital ,jennifer to hospital ,jennifer ,1 ,mary ,jennifer ,1 ,1 
"mary stabbed jennifer, so john reported her to police. ",what does her refer to? ,her refers to mary ,her refers to jennifer ,mary ,0 ,mary ,jennifer ,1 ,1 
"mary stabbed jennifer, so john reported her to police. ",what to police? ,mary to police ,jennifer to police ,mary ,0 ,mary ,jennifer ,1 ,1 
lions eat zebras because they are predators. ,what does they refer to? ,they refers to lions ,they refers to zebras ,lions ,0 ,lions ,zebras ,1 ,1 
lions eat zebras because they are predators. ,what are predators? ,lions are predators ,zebras are predators ,lions ,0 ,lions ,zebras ,1 ,1 
lions eat zebras because they are meaty. ,what does they refer to? ,they refers to lions ,they refers to zebras ,zebras ,1 ,lions ,zebras ,1 ,1 
lions eat zebras because they are meaty. ,what are meaty? ,lions are meaty ,zebras are meaty ,zebras ,1 ,lions ,zebras ,1 ,1 
coach criticized player because he did not adhere to team's formation. ,what does he refer to? ,he refers to coach ,he refers to player ,player ,1 ,coach ,player ,1 ,1 
coach criticized player because he did not adhere to team's formation. ,what did not adhere to team's formation? ,coach did not adhere to team's formation ,player did not adhere to team's formation ,player ,1 ,coach ,player ,1 ,1 
coach criticized player because he explicitly told everyone not to break team's formation. ,what does he refer to? ,he refers to coach ,he refers to player ,coach ,0 ,coach ,player ,1 ,1 
coach criticized player because he explicitly told everyone not to break team's formation. ,what explicitly told everyone not to break team's formation? ,coach explicitly told everyone not to break team's formation ,player explicitly told everyone not to break team's formation ,coach ,0 ,coach ,player ,1 ,1 
academic clubs lost their members because they were poorly funded. ,what does they refer to? ,they refers to academic clubs ,they refers to their members ,academic clubs ,0 ,academic clubs ,their members ,1 ,1 
academic clubs lost their members because they were poorly funded. ,what were poorly funded? ,academic clubs were poorly funded ,their members were poorly funded ,academic clubs ,0 ,academic clubs ,their members ,1 ,1 
academic clubs lost their members because they did not have free time. ,what does they refer to? ,they refers to academic clubs ,they refers to their members ,their members ,1 ,academic clubs ,their members ,1 ,1 
academic clubs lost their members because they did not have free time. ,what did not have free time? ,academic clubs did not have free time ,their members did not have free time ,their members ,1 ,academic clubs ,their members ,1 ,1 
"james asked robert for a favor, but he refused. ",what does he refer to? ,he refers to james ,he refers to robert ,robert ,1 ,james ,robert ,0 ,0 
"james asked robert for a favor, but he refused. ",what refused? ,james refused ,robert refused ,robert ,1 ,james ,robert ,0 ,0 
"james asked robert for a favor, but he was refused. ",what does he refer to? ,he refers to james ,he refers to robert ,james ,0 ,james ,robert ,0 ,0 
"james asked robert for a favor, but he was refused. ",what was refused? ,james was refused ,robert was refused ,james ,0 ,james ,robert ,0 ,0 
teacher did not recommend william because he was not a good student. ,what does he refer to? ,he refers to teacher ,he refers to william ,william ,1 ,teacher ,william ,1 ,0 
teacher did not recommend william because he was not a good student. ,what was not a good student? ,teacher was not a good student ,william was not a good student ,william ,1 ,teacher ,william ,1 ,0 
teacher did not recommend william because he had high standards. ,what does he refer to? ,he refers to teacher ,he refers to william ,teacher ,0 ,teacher ,william ,1 ,0 
teacher did not recommend william because he had high standards. ,what had high standards? ,teacher had high standards ,william had high standards ,teacher ,0 ,teacher ,william ,1 ,0 
doctor told susan that she had cancer. ,what does she refer to? ,she refers to doctor ,she refers to susan ,susan ,1 ,doctor ,susan ,1 ,1 
doctor told susan that she had cancer. ,what had cancer? ,doctor had cancer ,susan had cancer ,susan ,1 ,doctor ,susan ,1 ,1 
doctor told susan that she had been busy. ,what does she refer to? ,she refers to doctor ,she refers to susan ,doctor ,0 ,doctor ,susan ,1 ,1 
doctor told susan that she had been busy. ,what had been busy? ,doctor had been busy ,susan had been busy ,doctor ,0 ,doctor ,susan ,1 ,1 
professor grading student's paper said that he was stupid. ,what does he refer to? ,he refers to professor ,he refers to student ,student ,1 ,professor ,student ,1 ,1 
professor grading student's paper said that he was stupid. ,what was stupid? ,professor was stupid ,student was stupid ,student ,1 ,professor ,student ,1 ,1 
professor grading student's paper said that he loved it. ,what does he refer to? ,he refers to professor ,he refers to student ,professor ,0 ,professor ,student ,1 ,1 
professor grading student's paper said that he loved it. ,what loved it? ,professor loved it ,student loved it ,professor ,0 ,professor ,student ,1 ,1 
jeremy annoyed justin so he can leave room. ,what does he refer to? ,he refers to jeremy ,he refers to justin ,justin ,1 ,jeremy ,justin ,0 ,1 
jeremy annoyed justin so he can leave room. ,what can leave room? ,jeremy can leave room ,justin can leave room ,justin ,1 ,jeremy ,justin ,0 ,1 
jeremy annoyed justin so he can have room. ,what does he refer to? ,he refers to jeremy ,he refers to justin ,jeremy ,0 ,jeremy ,justin ,0 ,1 
jeremy annoyed justin so he can have room. ,what can have room? ,jeremy can have room ,justin can have room ,jeremy ,0 ,jeremy ,justin ,0 ,1 
paula liked ness more than pokey because he was nice to her. ,what does he refer to? ,he refers to ness ,he refers to pokey ,ness ,0 ,ness ,pokey ,1 ,1 
paula liked ness more than pokey because he was nice to her. ,what was nice to her? ,ness was nice to her ,pokey was nice to her ,ness ,0 ,ness ,pokey ,1 ,1 
paula liked ness more than pokey because he was mean to her. ,what does he refer to? ,he refers to ness ,he refers to pokey ,pokey ,1 ,ness ,pokey ,1 ,1 
paula liked ness more than pokey because he was mean to her. ,what was mean to her? ,ness was mean to her ,pokey was mean to her ,pokey ,1 ,ness ,pokey ,1 ,1 
rocky lost to clubber lang because he was not ready for fight. ,what does he refer to? ,he refers to rocky ,he refers to clubber lang ,rocky ,0 ,rocky ,clubber lang ,0 ,1 
rocky lost to clubber lang because he was not ready for fight. ,what was not ready for fight? ,rocky was not ready for fight ,clubber lang was not ready for fight ,rocky ,0 ,rocky ,clubber lang ,0 ,1 
rocky lost to clubber lang because he was ready for fight. ,what does he refer to? ,he refers to rocky ,he refers to clubber lang ,clubber lang ,1 ,rocky ,clubber lang ,0 ,1 
rocky lost to clubber lang because he was ready for fight. ,what was ready for fight? ,rocky was ready for fight ,clubber lang was ready for fight ,clubber lang ,1 ,rocky ,clubber lang ,0 ,1 
aaron kissed dan because he wanted to. ,what does he refer to? ,he refers to aaron ,he refers to dan ,aaron ,0 ,aaron ,dan ,0 ,0 
aaron kissed dan because he wanted to. ,what wanted to? ,aaron wanted to ,dan wanted to ,aaron ,0 ,aaron ,dan ,0 ,0 
aaron kissed dan because he wanted him to. ,what does he refer to? ,he refers to aaron ,he refers to dan ,dan ,1 ,aaron ,dan ,0 ,0 
aaron kissed dan because he wanted him to. ,what wanted him to? ,aaron wanted him to ,dan wanted him to ,dan ,1 ,aaron ,dan ,0 ,0 
students fell asleep during professor's lectures because they were boring. ,what does they refer to? ,they refers to students ,they refers to professor's lectures ,professor's lectures ,1 ,students ,professor's lectures ,1 ,1 
students fell asleep during professor's lectures because they were boring. ,what were boring? ,students were boring ,professor's lectures were boring ,professor's lectures ,1 ,students ,professor's lectures ,1 ,1 
students fell asleep during professor's lectures because they were bored. ,what does they refer to? ,they refers to students ,they refers to professor's lectures ,students ,0 ,students ,professor's lectures ,1 ,1 
students fell asleep during professor's lectures because they were bored. ,what were bored? ,students were bored ,professor's lectures were bored ,students ,0 ,students ,professor's lectures ,1 ,1 
derrick begged his boss for a raise but he did not get one. ,what does he refer to? ,he refers to derrick ,he refers to his boss ,derrick ,0 ,derrick ,his boss ,0 ,1 
derrick begged his boss for a raise but he did not get one. ,what did not get one? ,derrick did not get one ,his boss did not get one ,derrick ,0 ,derrick ,his boss ,0 ,1 
derrick begged his boss for a raise but he did not give one. ,what does he refer to? ,he refers to derrick ,he refers to his boss ,his boss ,1 ,derrick ,his boss ,0 ,1 
derrick begged his boss for a raise but he did not give one. ,what did not give one? ,derrick did not give one ,his boss did not give one ,his boss ,1 ,derrick ,his boss ,0 ,1 
"jurors deliberated on defendants' fate for hours, but they did not reach a verdict. ",what does they refer to? ,they refers to jurors ,they refers to defendants ,jurors ,0 ,jurors ,defendants ,1 ,1 
"jurors deliberated on defendants' fate for hours, but they did not reach a verdict. ",what did not reach a verdict? ,jurors did not reach a verdict ,defendants did not reach a verdict ,jurors ,0 ,jurors ,defendants ,1 ,1 
"jurors deliberated on defendants' fate for hours, but they didn't receive death penalty. ",what does they refer to? ,they refers to jurors ,they refers to defendants ,defendants ,1 ,jurors ,defendants ,1 ,1 
"jurors deliberated on defendants' fate for hours, but they didn't receive death penalty. ",what didn't receive death penalty? ,jurors didn't receive death penalty ,defendants didn't receive death penalty ,defendants ,1 ,jurors ,defendants ,1 ,1 
orchestra was booed by audience because they had performed poorly. ,what does they refer to? ,they refers to orchestra ,they refers to audience ,orchestra ,0 ,orchestra ,audience ,1 ,1 
orchestra was booed by audience because they had performed poorly. ,what had performed poorly? ,orchestra had performed poorly ,audience had performed poorly ,orchestra ,0 ,orchestra ,audience ,1 ,1 
orchestra was booed by audience because they had expected a rock band. ,what does they refer to? ,they refers to orchestra ,they refers to audience ,audience ,1 ,orchestra ,audience ,1 ,1 
orchestra was booed by audience because they had expected a rock band. ,what had expected a rock band? ,orchestra had expected a rock band ,audience had expected a rock band ,audience ,1 ,orchestra ,audience ,1 ,1 
jacob gave william money because he needed some. ,what does he refer to? ,he refers to jacob ,he refers to william ,william ,1 ,jacob ,william ,0 ,0 
jacob gave william money because he needed some. ,what needed some? ,jacob needed some ,william needed some ,william ,1 ,jacob ,william ,0 ,0 
jacob gave william money because he sold car. ,what does he refer to? ,he refers to jacob ,he refers to william ,jacob ,0 ,jacob ,william ,0 ,0 
jacob gave william money because he sold car. ,what sold car? ,jacob sold car ,william sold car ,jacob ,0 ,jacob ,william ,0 ,0 
alexandra told kelly not to get a tattoo because she raised her conservatively. ,what does she refer to? ,she refers to alexandra ,she refers to kelly ,alexandra ,0 ,alexandra ,kelly ,1 ,1 
alexandra told kelly not to get a tattoo because she raised her conservatively. ,what raised her conservatively? ,alexandra raised her conservatively ,kelly raised her conservatively ,alexandra ,0 ,alexandra ,kelly ,1 ,1 
alexandra told kelly not to get a tattoo because she would seem unprofessional. ,what does she refer to? ,she refers to alexandra ,she refers to kelly ,kelly ,1 ,alexandra ,kelly ,1 ,1 
alexandra told kelly not to get a tattoo because she would seem unprofessional. ,what would seem unprofessional? ,alexandra would seem unprofessional ,kelly would seem unprofessional ,kelly ,1 ,alexandra ,kelly ,1 ,1 
"olivia tried to counsel emily, but she was not interested. ",what does she refer to? ,she refers to olivia ,she refers to emily ,emily ,1 ,olivia ,emily ,1 ,1 
"olivia tried to counsel emily, but she was not interested. ",what was not interested? ,olivia was not interested ,emily was not interested ,emily ,1 ,olivia ,emily ,1 ,1 
"olivia tried to counsel emily, but she was rejected. ",what does she refer to? ,she refers to olivia ,she refers to emily ,olivia ,0 ,olivia ,emily ,1 ,1 
"olivia tried to counsel emily, but she was rejected. ",what was rejected? ,olivia was rejected ,emily was rejected ,olivia ,0 ,olivia ,emily ,1 ,1 
james went to sully's arcade and he asked for tickets. ,what does he refer to? ,he refers to james ,he refers to sully ,james ,0 ,james ,sully ,0 ,0 
james went to sully's arcade and he asked for tickets. ,what asked for tickets? ,james asked for tickets ,sully asked for tickets ,james ,0 ,james ,sully ,0 ,0 
james went to sully's arcade but he refused to let him in. ,what does he refer to? ,he refers to james ,he refers to sully ,sully ,1 ,james ,sully ,0 ,0 
james went to sully's arcade but he refused to let him in. ,what refused to let him in? ,james refused to let him in ,sully refused to let him in ,sully ,1 ,james ,sully ,0 ,0 
"kurt flew in alex's plane, and he thanked him. ",what does he refer to? ,he refers to kurt ,he refers to alex ,kurt ,0 ,kurt ,alex ,0 ,1 
"kurt flew in alex's plane, and he thanked him. ",what thanked him? ,kurt thanked him ,alex thanked him ,kurt ,0 ,kurt ,alex ,0 ,1 
"kurt flew in alex's plane, and he asked him to come again. ",what does he refer to? ,he refers to kurt ,he refers to alex ,alex ,1 ,kurt ,alex ,0 ,1 
"kurt flew in alex's plane, and he asked him to come again. ",what asked him to come again? ,kurt asked him to come again ,alex asked him to come again ,alex ,1 ,kurt ,alex ,0 ,1 
"bill was robbed by john, so officer arrested him. ",what does him refer to? ,him refers to bill ,him refers to john ,john ,1 ,bill ,john ,1 ,0 
"bill was robbed by john, so officer arrested him. ",what? ,bill ,john ,john ,1 ,bill ,john ,1 ,0 
"bill was robbed by john, so officer helped him. ",what does him refer to? ,him refers to bill ,him refers to john ,bill ,0 ,bill ,john ,1 ,0 
"bill was robbed by john, so officer helped him. ",what? ,bill ,john ,bill ,0 ,bill ,john ,1 ,0 
he put snow on smiley face because it was wet. ,what does it refer to? ,it refers to snow ,it refers to smiley face ,snow ,0 ,snow ,smiley face ,1 ,1 
he put snow on smiley face because it was wet. ,what was wet? ,snow was wet ,smiley face was wet ,snow ,0 ,snow ,smiley face ,1 ,1 
he put snow on smiley face because it was dry. ,what does it refer to? ,it refers to snow ,it refers to smiley face ,smiley face ,1 ,snow ,smiley face ,1 ,1 
he put snow on smiley face because it was dry. ,what was dry? ,snow was dry ,smiley face was dry ,smiley face ,1 ,snow ,smiley face ,1 ,1 
kitten played with yarn because it was fun. ,what does it refer to? ,it refers to kitten ,it refers to yarn ,yarn ,1 ,kitten ,yarn ,1 ,1 
kitten played with yarn because it was fun. ,what was fun? ,kitten was fun ,yarn was fun ,yarn ,1 ,kitten ,yarn ,1 ,1 
kitten played with yarn because it was bored. ,what does it refer to? ,it refers to kitten ,it refers to yarn ,kitten ,0 ,kitten ,yarn ,1 ,1 
kitten played with yarn because it was bored. ,what was bored? ,kitten was bored ,yarn was bored ,kitten ,0 ,kitten ,yarn ,1 ,1 
i chopped down tree with my axe because it was tall. ,what does it refer to? ,it refers to tree ,it refers to my axe ,tree ,0 ,tree ,my axe ,1 ,1 
i chopped down tree with my axe because it was tall. ,what was tall? ,tree was tall ,my axe was tall ,tree ,0 ,tree ,my axe ,1 ,1 
i chopped down tree with my axe because it was sharp. ,what does it refer to? ,it refers to tree ,it refers to my axe ,my axe ,1 ,tree ,my axe ,1 ,1 
i chopped down tree with my axe because it was sharp. ,what was sharp? ,tree was sharp ,my axe was sharp ,my axe ,1 ,tree ,my axe ,1 ,1 
spiderman defeated magnito because he is a good guy. ,what does he refer to? ,he refers to spiderman ,he refers to magnito ,spiderman ,0 ,spiderman ,magnito ,1 ,1 
spiderman defeated magnito because he is a good guy. ,what is a good guy? ,spiderman is a good guy ,magnito is a good guy ,spiderman ,0 ,spiderman ,magnito ,1 ,1 
spiderman defeated magnito because he is a bad guy. ,what does he refer to? ,he refers to spiderman ,he refers to magnito ,magnito ,1 ,spiderman ,magnito ,1 ,1 
spiderman defeated magnito because he is a bad guy. ,what is a bad guy? ,spiderman is a bad guy ,magnito is a bad guy ,magnito ,1 ,spiderman ,magnito ,1 ,1 
citizens rebelled against government because they were being repressed. ,what does they refer to? ,they refers to citizens ,they refers to government ,citizens ,0 ,citizens ,government ,1 ,1 
citizens rebelled against government because they were being repressed. ,what were being repressed? ,citizens were being repressed ,government were being repressed ,citizens ,0 ,citizens ,government ,1 ,1 
citizens rebelled against government because they were being mean. ,what does they refer to? ,they refers to citizens ,they refers to government ,government ,1 ,citizens ,government ,1 ,1 
citizens rebelled against government because they were being mean. ,what were being mean? ,citizens were being mean ,government were being mean ,government ,1 ,citizens ,government ,1 ,1 
cats are smarter than dogs because they always land on their feet. ,what does they refer to? ,they refers to cats ,they refers to dogs ,cats ,0 ,cats ,dogs ,1 ,1 
cats are smarter than dogs because they always land on their feet. ,what always land on their feet? ,cats always land on their feet ,dogs always land on their feet ,cats ,0 ,cats ,dogs ,1 ,1 
cats are smarter than dogs because they bark for no reason. ,what does they refer to? ,they refers to cats ,they refers to dogs ,dogs ,1 ,cats ,dogs ,1 ,1 
cats are smarter than dogs because they bark for no reason. ,what bark for no reason? ,cats bark for no reason ,dogs bark for no reason ,dogs ,1 ,cats ,dogs ,1 ,1 
ball hit window and bill repaired it. ,what does it refer to? ,it refers to ball ,it refers to window ,window ,1 ,ball ,window ,1 ,1 
ball hit window and bill repaired it. ,what? ,ball ,window ,window ,1 ,ball ,window ,1 ,1 
ball hit window and bill caught it. ,what does it refer to? ,it refers to ball ,it refers to window ,ball ,0 ,ball ,window ,1 ,1 
ball hit window and bill caught it. ,what? ,ball ,window ,ball ,0 ,ball ,window ,1 ,1 
robert fired chris because he couldn't do job. ,what does he refer to? ,he refers to robert ,he refers to chris ,chris ,1 ,robert ,chris ,0 ,1 
robert fired chris because he couldn't do job. ,what couldn't do job? ,robert couldn't do job ,chris couldn't do job ,chris ,1 ,robert ,chris ,0 ,1 
robert fired chris because he no longer needed workers. ,what does he refer to? ,he refers to robert ,he refers to chris ,robert ,0 ,robert ,chris ,0 ,1 
robert fired chris because he no longer needed workers. ,what no longer needed workers? ,robert no longer needed workers ,chris no longer needed workers ,robert ,0 ,robert ,chris ,0 ,1 
steve scratched johnny because he was angry. ,what does he refer to? ,he refers to steve ,he refers to johnny ,steve ,0 ,steve ,johnny ,0 ,0 
steve scratched johnny because he was angry. ,what was angry? ,steve was angry ,johnny was angry ,steve ,0 ,steve ,johnny ,0 ,0 
steve scratched johnny so he became angry. ,what does he refer to? ,he refers to steve ,he refers to johnny ,johnny ,1 ,steve ,johnny ,0 ,0 
steve scratched johnny so he became angry. ,what became angry? ,steve became angry ,johnny became angry ,johnny ,1 ,steve ,johnny ,0 ,0 
youth outran old man because he was in shape. ,what does he refer to? ,he refers to youth ,he refers to old man ,youth ,0 ,youth ,old man ,1 ,1 
youth outran old man because he was in shape. ,what was in shape? ,youth was in shape ,old man was in shape ,youth ,0 ,youth ,old man ,1 ,1 
youth outran old man because he broke his hip. ,what does he refer to? ,he refers to youth ,he refers to old man ,old man ,1 ,youth ,old man ,1 ,1 
youth outran old man because he broke his hip. ,what broke his hip? ,youth broke his hip ,old man broke his hip ,old man ,1 ,youth ,old man ,1 ,1 
video games are outselling movies because they are fun to play. ,what does they refer to? ,they refers to video games ,they refers to movies ,video games ,0 ,video games ,movies ,1 ,1 
video games are outselling movies because they are fun to play. ,what are fun to play? ,video games are fun to play ,movies are fun to play ,video games ,0 ,video games ,movies ,1 ,1 
video games are outselling movies because they are an old medium. ,what does they refer to? ,they refers to video games ,they refers to movies ,movies ,1 ,video games ,movies ,1 ,1 
video games are outselling movies because they are an old medium. ,what are an old medium? ,video games are an old medium ,movies are an old medium ,movies ,1 ,video games ,movies ,1 ,1 
google bought motorola because they want its customer base. ,what does they refer to? ,they refers to google ,they refers to motorola ,google ,0 ,google ,motorola ,1 ,1 
google bought motorola because they want its customer base. ,what want its customer base? ,google want its customer base ,motorola want its customer base ,google ,0 ,google ,motorola ,1 ,1 
google bought motorola because they were bankrupt. ,what does they refer to? ,they refers to google ,they refers to motorola ,motorola ,1 ,google ,motorola ,1 ,1 
google bought motorola because they were bankrupt. ,what were bankrupt? ,google were bankrupt ,motorola were bankrupt ,motorola ,1 ,google ,motorola ,1 ,1 
sam cheated sally but she did not cry. ,what does she refer to? ,she refers to sally ,she refers to sam ,sally ,0 ,sally ,sam ,1 ,1 
sam cheated sally but she did not cry. ,what did not cry? ,sally did not cry ,sam did not cry ,sally ,0 ,sally ,sam ,1 ,1 
sam cheated sally but she did not repent. ,what does she refer to? ,she refers to sally ,she refers to sam ,sam ,1 ,sally ,sam ,1 ,1 
sam cheated sally but she did not repent. ,what did not repent? ,sally did not repent ,sam did not repent ,sam ,1 ,sally ,sam ,1 ,1 
keith fired blaine but he did not regret. ,what does he refer to? ,he refers to keith ,he refers to blaine ,keith ,0 ,keith ,blaine ,0 ,0 
keith fired blaine but he did not regret. ,what did not regret? ,keith did not regret ,blaine did not regret ,keith ,0 ,keith ,blaine ,0 ,0 
keith fired blaine even though he is diligent. ,what does he refer to? ,he refers to keith ,he refers to blaine ,blaine ,1 ,keith ,blaine ,0 ,0 
keith fired blaine even though he is diligent. ,what is diligent? ,keith is diligent ,blaine is diligent ,blaine ,1 ,keith ,blaine ,0 ,0 
storm delayed flight as it was very dangerous. ,what does it refer to? ,it refers to storm ,it refers to flight ,storm ,0 ,storm ,flight ,1 ,1 
storm delayed flight as it was very dangerous. ,what was very dangerous? ,storm was very dangerous ,flight was very dangerous ,storm ,0 ,storm ,flight ,1 ,1 
storm delayed flight as it was going over ocean. ,what does it refer to? ,it refers to storm ,it refers to flight ,flight ,1 ,storm ,flight ,1 ,1 
storm delayed flight as it was going over ocean. ,what was going over ocean? ,storm was going over ocean ,flight was going over ocean ,flight ,1 ,storm ,flight ,1 ,1 
john flicked bill because he saw a fly on his shirt. ,what does he refer to? ,he refers to john ,he refers to bill ,john ,0 ,john ,bill ,0 ,1 
john flicked bill because he saw a fly on his shirt. ,what saw a fly on his shirt? ,john saw a fly on his shirt ,bill saw a fly on his shirt ,john ,0 ,john ,bill ,0 ,1 
john flicked bill because he had a fly on his shirt. ,what does he refer to? ,he refers to john ,he refers to bill ,bill ,1 ,john ,bill ,0 ,1 
john flicked bill because he had a fly on his shirt. ,what had a fly on his shirt? ,john had a fly on his shirt ,bill had a fly on his shirt ,bill ,1 ,john ,bill ,0 ,1 
zombies chased survivors because they were hungry. ,what does they refer to? ,they refers to zombies ,they refers to survivors ,zombies ,0 ,zombies ,survivors ,1 ,1 
zombies chased survivors because they were hungry. ,what were hungry? ,zombies were hungry ,survivors were hungry ,zombies ,0 ,zombies ,survivors ,1 ,1 
zombies chased survivors because they were tasty. ,what does they refer to? ,they refers to zombies ,they refers to survivors ,survivors ,1 ,zombies ,survivors ,1 ,1 
