Question String,Pronoun,Split1,Split2,Option1,Option2
"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have lost.",he would have lost.,"Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,",he would have lost.,Bob,Adam
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be gone by this time.",he would be gone,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,",he would be gone by this time.,Adam,Bob
"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time, he would be here by this time.",he would be here,"Adam can't leave work here until Bob arrives to replace him. If Bob had left home for work on time,",he would be here by this time.,Adam,Bob
"If the con artist has succeeded in fooling Sam, he would have gotten a lot of money.",he would have gotten a lot of money.,"If the con artist has succeeded in fooling Sam,",he would have gotten a lot of money.,The con artist,Sam
"If the con artist has succeeded in fooling Sam, he would have lost a lot of money.",he would have lost a lot of money.,"If the con artist has succeeded in fooling Sam,",he would have lost a lot of money.,The con artist,Sam
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was hot.",it was hot,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because",it was hot.,The dog,The spot under the tree
"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because it was cooler.",it was cooler,"It was a summer afternoon, and the dog was sitting in the middle of the lawn. After a while, it got up and moved to a spot under the tree, because",it was cooler.,The dog,The spot under the tree
"The cat was lying by the mouse hole waiting for the mouse, but it was too impatient.",it was too impatient.,"The cat was lying by the mouse hole waiting for the mouse, but",it was too impatient.,The cat,The mouse
"The cat was lying by the mouse hole waiting for the mouse, but it was too cautious.",it was too cautious.,"The cat was lying by the mouse hole waiting for the mouse, but",it was too cautious.,The cat,The mouse
Anne gave birth to a daughter last month. She is a very charming woman.,She is a very charming woman.,Anne gave birth to a daughter last month.,She is a very charming woman.,Anne,Anne's daughter
Anne gave birth to a daughter last month. She is a very charming baby.,She is a very charming baby.,Anne gave birth to a daughter last month.,She is a very charming baby.,Anne,Anne's daughter
"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why she was behaving so strangely.",she was behaving so strangely.,"Alice tried frantically to stop her daughter from chatting at the party, leaving us to wonder why",she was behaving so strangely.,Alice,Alice's daughter
"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why she was behaving so strangely.",she was behaving so strangely.,"Alice tried frantically to stop her daughter from barking at the party, leaving us to wonder why",she was behaving so strangely.,Alice,Alice's daughter
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know why he was, but he looked very unhappy.",why he was,I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know,"why he was, but he looked very unhappy.",Jim,the guy in uniform
"I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know who he was, but he looked very unhappy.",who he was,I saw Jim yelling at some guy in a military uniform with a huge red beard. I don't know,"who he was, but he looked very unhappy.",Jim,the guy in uniform
The fish ate the worm. It was hungry.,It was hungry.,The fish ate the worm.,It was hungry.,The fish,The worm
The fish ate the worm. It was tasty.,It was tasty.,The fish ate the worm.,It was tasty.,The fish,The worm
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it in.",I couldn't get it in.,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and",I couldn't get it in.,The key,The chewing gum
"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and I couldn't get it out.",I couldn't get it out.,"I was trying to open the lock with the key, but someone had filled the keyhole with chewing gum, and",I couldn't get it out.,The key,The chewing gum
"The dog chased the cat, which ran up a tree. It waited at the bottom.",It waited,"The dog chased the cat, which ran up a tree.",It waited at the bottom.,The dog,The cat
"The dog chased the cat, which ran up a tree. It waited at the top.",It waited,"The dog chased the cat, which ran up a tree.",It waited at the top.,The dog,The cat
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it removed.",get it removed.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to",get it removed.,The tree,The roof
"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to get it repaired.",get it repaired.,"In the storm, the tree fell down and crashed through the roof of my house. Now, I have to",get it repaired.,The tree,The roof
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the police station.,He was immediately taken,The customer walked into the bank and stabbed one of the tellers.,He was immediately taken to the police station.,The customer,The teller
The customer walked into the bank and stabbed one of the tellers. He was immediately taken to the hospital.,He was immediately taken,The customer walked into the bank and stabbed one of the tellers.,He was immediately taken to the hospital.,The customer,The teller
John was doing research in the library when he heard a man humming and whistling. He was very annoyed.,He was very annoyed.,John was doing research in the library when he heard a man humming and whistling.,He was very annoyed.,John,The man
John was doing research in the library when he heard a man humming and whistling. He was very annoying.,He was very annoying.,John was doing research in the library when he heard a man humming and whistling.,He was very annoying.,John,The man
John was jogging through the park when he saw a man juggling watermelons. He was very impressed.,He was very impressed.,John was jogging through the park when he saw a man juggling watermelons.,He was very impressed.,John,The juggler
John was jogging through the park when he saw a man juggling watermelons. He was very impressive.,He was very impressive.,John was jogging through the park when he saw a man juggling watermelons.,He was very impressive.,John,The juggler
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very ill.,He was very ill,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He was very ill.,Bob,Carl
Bob collapsed on the sidewalk. Soon he saw Carl coming to help. He was very concerned.,He was very concerned,Bob collapsed on the sidewalk. Soon he saw Carl coming to help.,He was very concerned.,Bob,Carl
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are fifteen.",they are fifteen.,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they are fifteen.,Sam and Amy,Amy's parents
"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because they are snobs.",they are snobs.,"Sam and Amy are passionately in love, but Amy's parents are unhappy about it, because",they are snobs.,Sam and Amy,Amy's parents
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more truthful.",He should have been more truthful.,"Mark told Pete many lies about himself, which Pete included in his book.",He should have been more truthful.,Mark,Pete
"Mark told Pete many lies about himself, which Pete included in his book. He should have been more skeptical.",He should have been more skeptical.,"Mark told Pete many lies about himself, which Pete included in his book.",He should have been more skeptical.,Mark,Pete
Joe has sold his house and bought a new one a few miles away. He will be moving out of it on Thursday.,moving out of it,Joe has sold his house and bought a new one a few miles away. He will be,moving out of it on Thursday.,The old house,The new house
Joe has sold his house and bought a new one a few miles away. He will be moving into it on Thursday.,moving into it,Joe has sold his house and bought a new one a few miles away. He will be,moving into it on Thursday.,The old house,The new house
Many people start to read Paul's books and can't put them down. They are gripped because Paul writes so well.,They are gripped,Many people start to read Paul's books and can't put them down.,They are gripped because Paul writes so well.,People,Paul's books
Many people start to read Paul's books and can't put them down. They are popular because Paul writes so well.,They are popular,Many people start to read Paul's books and can't put them down.,They are popular because Paul writes so well.,People,Paul's books
Mary took out her flute and played one of her favorite pieces. She has had it since she was a child.,She has had it,Mary took out her flute and played one of her favorite pieces.,She has had it since she was a child.,The flute,The piece
Mary took out her flute and played one of her favorite pieces. She has loved it since she was a child.,She has loved it,Mary took out her flute and played one of her favorite pieces.,She has loved it since she was a child.,The flute,The piece
"Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.",it was broken,"Sam pulled up a chair to the piano, but","it was broken, so he had to stand instead.",The chair,The piano
"Sam pulled up a chair to the piano, but it was broken, so he had to sing instead.",it was broken,"Sam pulled up a chair to the piano, but","it was broken, so he had to sing instead.",The chair,The piano
"Since it was raining, I carried the newspaper in my backpack to keep it dry.",keep it dry,"Since it was raining, I carried the newspaper in my backpack to",keep it dry.,The newspaper,The backpack
"Since it was raining, I carried the newspaper over my backpack to keep it dry.",keep it dry,"Since it was raining, I carried the newspaper over my backpack to",keep it dry.,The newspaper,The backpack
Sara borrowed the book from the library because she needs it for an article she is working on. She reads it when she gets home from work.,She reads it,Sara borrowed the book from the library because she needs it for an article she is working on.,She reads it when she gets home from work.,The book,The article
Sara borrowed the book from the library because she needs it for an article she is working on. She writes it when she gets home from work.,She writes it,Sara borrowed the book from the library because she needs it for an article she is working on.,She writes it when she gets home from work.,The book,The article
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide knocked it down.",knocked it down,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the tide",knocked it down.,The sand castle,The flag
"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind knocked it down.",knocked it down,"This morning, Joey built a sand castle on the beach, and put a toy flag in the highest tower, but this afternoon the wind",knocked it down.,The sand castle,The flag
"Jane knocked on Susan's door, but there was no answer. She was disappointed.",She was disappointed.,"Jane knocked on Susan's door, but there was no answer.",She was disappointed.,Jane,Susan
"Jane knocked on Susan's door, but there was no answer. She was out.",She was out.,"Jane knocked on Susan's door, but there was no answer.",She was out.,Jane,Susan
"Jane knocked on the door, and Susan answered it. She invited her to come out.",She invited,"Jane knocked on the door, and Susan answered it.",She invited her to come out.,Jane,Susan
"Jane knocked on the door, and Susan answered it. She invited her to come in.",She invited,"Jane knocked on the door, and Susan answered it.",She invited her to come in.,Jane,Susan
"Sam took French classes from Adam, because he was eager to speak it fluently.",he was eager,"Sam took French classes from Adam, because",he was eager to speak it fluently.,Sam,Adam
"Sam took French classes from Adam, because he was known to speak it fluently.",he was known to speak it,"Sam took French classes from Adam, because",he was known to speak it fluently.,Sam,Adam
"The path to the lake was blocked, so we couldn't use it.",use it,"The path to the lake was blocked, so we couldn't",use it.,The path,The lake
"The path to the lake was blocked, so we couldn't reach it.",reach it,"The path to the lake was blocked, so we couldn't",reach it.,The path,The lake
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was out.",it was out,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it was out.,The sun,The cloud
"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started, it was gone.",it was gone,"The sun was covered by a thick cloud all morning, but luckily, by the time the picnic started,",it was gone.,The sun,The cloud
"We went to the lake, because a shark had been seen at the ocean beach, so it was a safer place to swim.",it was a safer place,"We went to the lake, because a shark had been seen at the ocean beach, so",it was a safer place to swim.,The lake,The ocean beach
"We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.",it was a dangerous place,"We went to the lake, because a shark had been seen at the ocean beach, so",it was a dangerous place to swim.,The lake,The ocean beach
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.",they ended up looking more like golfers.,"Sam tried to paint a picture of shepherds with sheep, but",they ended up looking more like golfers.,The shepherds,The sheep
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs.",they ended up looking more like dogs.,"Sam tried to paint a picture of shepherds with sheep, but",they ended up looking more like dogs.,The shepherds,The sheep
"Mary tucked her daughter Anne into bed, so that she could work.",she could work,"Mary tucked her daughter Anne into bed, so that",she could work.,Mary,Mary's daughter
"Mary tucked her daughter Anne into bed, so that she could sleep.",she could sleep.,"Mary tucked her daughter Anne into bed, so that",she could sleep.,Mary,Mary's daughter
"Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.",they were not prepared,"Fred and Alice had very warm down coats, but",they were not prepared for the cold in Alaska.,Fred and Alice,coats
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",they were not enough,"Fred and Alice had very warm down coats, but",they were not enough for the cold in Alaska.,Fred and Alice,coats
Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.,he had been travelling,Thomson visited Cooper's grave in 1765. At that date,he had been travelling for five years.,Thomson,Cooper
Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.,he had been dead,Thomson visited Cooper's grave in 1765. At that date,he had been dead for five years.,Thomson,Cooper
"Jackson was greatly influenced by Arnold, though he lived two centuries later.",he lived two centuries later.,"Jackson was greatly influenced by Arnold, though",he lived two centuries later.,Jackson,Arnold
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",he lived two centuries earlier.,"Jackson was greatly influenced by Arnold, though",he lived two centuries earlier.,Jackson,Arnold
I can't cut that tree down with that axe; it is too thick.,it is too thick.,I can't cut that tree down with that axe;,it is too thick.,The tree,The axe
I can't cut that tree down with that axe; it is too small.,it is too small.,I can't cut that tree down with that axe;,it is too small.,The tree,The axe
The foxes are getting in at night and attacking the chickens. I shall have to kill them.,to kill them,The foxes are getting in at night and attacking the chickens. I shall have,to kill them.,The foxes,The chickens
The foxes are getting in at night and attacking the chickens. I shall have to guard them.,to guard them,The foxes are getting in at night and attacking the chickens. I shall have,to guard them.,The foxes,The chickens
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,They have gotten very bold.,The foxes are getting in at night and attacking the chickens.,They have gotten very bold.,The foxes,The chickens
The foxes are getting in at night and attacking the chickens. They have gotten very nervous.,They have gotten very nervous.,The foxes are getting in at night and attacking the chickens.,They have gotten very nervous.,The foxes,The chickens
"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.",opened them,"Fred covered his eyes with his hands, because the wind was blowing sand around. He",opened them when the wind stopped.,His eyes,His hands
"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.",lowered them,"Fred covered his eyes with his hands, because the wind was blowing sand around. He",lowered them when the wind stopped.,His eyes,His hands
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.",it was too hard,"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured",it was too hard to pronounce.,Terpsichore,Tina
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was easier to pronounce.",it was easier,"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured",it was easier to pronounce.,Terpsichore,Tina
Fred watched TV while George went out to buy groceries. After an hour he got up.,he got up.,Fred watched TV while George went out to buy groceries. After an hour,he got up.,Fred,George
Fred watched TV while George went out to buy groceries. After an hour he got back.,he got back.,Fred watched TV while George went out to buy groceries. After an hour,he got back.,Fred,George
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",turned it on,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and",turned it on.,The dishwasher,The TV
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.",turned it off,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and",turned it off.,The dishwasher,The TV
Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.,He is a remarkable man.,Fred is the only man still alive who remembers my great-grandfather.,He is a remarkable man.,Fred,My great-grandfather
Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.,He was a remarkable man.,Fred is the only man still alive who remembers my great-grandfather.,He was a remarkable man.,Fred,My great-grandfather
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.",he was twelve years old.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he was twelve years old.,Fred,My father
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.",he was twelve months old.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he was twelve months old.,Fred,My father
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.",they were defeated,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger,",they were defeated within weeks.,Kamchatka,Yakutsk
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.",they were victorious,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger,",they were victorious within weeks.,Kamchatka,Yakutsk
Look! There is a minnow swimming right below that duck! It had better get away to safety fast!,It had better get away,Look! There is a minnow swimming right below that duck!,It had better get away to safety fast!,The minnow,The duck
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,It had better get away,Look! There is a shark swimming right below that duck!,It had better get away to safety fast!,The shark,The duck
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.",They hunted for evidence,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They hunted for evidence on the river banks.,Archaeologists,Prehistoric humans
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",They hunted for deer,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They hunted for deer on the river banks.,Archaeologists,Prehistoric humans
