Question String,Pronoun,Split1,Split2,Option1,Option2
The orchestra was booed by the audience because they had expected a rock band.,they,The orchestra was booed by the audience because,they had expected a rock band.,The orchestra,the audience
Jacob gave William money because he needed some.,he,Jacob gave William money because,he needed some.,Jacob,William
Jacob gave William money because he sold the car.,he,Jacob gave William money because,he sold the car.,Jacob,William
Alexandra told Kelly not to get a tattoo because she raised her conservatively.,she,Alexandra told Kelly not to get a tattoo because,she raised her conservatively.,Alexandra,Kelly
Alexandra told Kelly not to get a tattoo because she would seem unprofessional.,she,Alexandra told Kelly not to get a tattoo because,she would seem unprofessional.,Alexandra,Kelly
"Olivia tried to counsel Emily, but she was not interested.",she,"Olivia tried to counsel Emily, but",she was not interested.,Olivia,Emily
"Olivia tried to counsel Emily, but she was rejected.",she,"Olivia tried to counsel Emily, but",she was rejected.,Olivia,Emily
James went to Sully's arcade and he asked for tickets.,he,James went to Sully's arcade and,he asked for tickets.,James,Sully
James went to Sully's arcade but he refused to let him in.,he,James went to Sully's arcade but,he refused to let him in.,James,Sully
"Kurt flew in Alex's plane, and he thanked him.",he,"Kurt flew in Alex's plane, and",he thanked him.,Kurt,Alex
"Kurt flew in Alex's plane, and he asked him to come again.",he,"Kurt flew in Alex's plane, and",he asked him to come again.,Kurt,Alex
"Bill was robbed by John, so the officer arrested him.",him,"Bill was robbed by John, so the officer arrested",him.,Bill,John
"Bill was robbed by John, so the officer helped him.",him,"Bill was robbed by John, so the officer helped",him.,Bill,John
He put snow on the smiley face because it was wet.,it,He put snow on the smiley face because,it was wet.,snow,the smiley face
He put snow on the smiley face because it was dry.,it,He put snow on the smiley face because,it was dry.,snow,the smiley face
The kitten played with the yarn because it was fun.,it,The kitten played with the yarn because,it was fun.,The kitten,the yarn
The kitten played with the yarn because it was bored.,it,The kitten played with the yarn because,it was bored.,The kitten,the yarn
I chopped down the tree with my axe because it was tall.,it,I chopped down the tree with my axe because,it was tall.,the tree,my axe
I chopped down the tree with my axe because it was sharp.,it,I chopped down the tree with my axe because,it was sharp.,the tree,my axe
Spiderman defeated Magnito because he is a good guy.,he,Spiderman defeated Magnito because,he is a good guy.,Spiderman,Magnito
Spiderman defeated Magnito because he is a bad guy.,he,Spiderman defeated Magnito because,he is a bad guy.,Spiderman,Magnito
The citizens rebelled against the government because they were being repressed.,they,The citizens rebelled against the government because,they were being repressed.,The citizens,the government
The citizens rebelled against the government because they were being mean.,they,The citizens rebelled against the government because,they were being mean.,The citizens,the government
Cats are smarter than dogs because they always land on their feet.,they,Cats are smarter than dogs because,they always land on their feet.,Cats,dogs
Cats are smarter than dogs because they bark for no reason.,they,Cats are smarter than dogs because,they bark for no reason.,Cats,dogs
The ball hit the window and Bill repaired it.,it,The ball hit the window and Bill repaired,it.,The ball,the window
The ball hit the window and Bill caught it.,it,The ball hit the window and Bill caught,it.,The ball,the window
Robert fired Chris because he couldn't do the job.,he,Robert fired Chris because,he couldn't do the job.,Robert,Chris
Robert fired Chris because he no longer needed workers.,he,Robert fired Chris because,he no longer needed workers.,Robert,Chris
Steve scratched Johnny because he was angry.,he,Steve scratched Johnny because,he was angry.,Steve,Johnny
Steve scratched Johnny so he became angry.,he,Steve scratched Johnny so,he became angry.,Steve,Johnny
The youth outran the old man because he was in shape.,he,The youth outran the old man because,he was in shape.,The youth,the old man
The youth outran the old man because he broke his hip.,he,The youth outran the old man because,he broke his hip.,The youth,the old man
Video games are outselling movies because they are fun to play.,they,Video games are outselling movies because,they are fun to play.,Video games,movies
Video games are outselling movies because they are an old medium.,they,Video games are outselling movies because,they are an old medium.,Video games,movies
Google bought Motorola because they want its customer base.,they,Google bought Motorola because,they want its customer base.,Google,Motorola
Google bought Motorola because they were bankrupt.,they,Google bought Motorola because,they were bankrupt.,Google,Motorola
Sam cheated Sally but she did not cry.,she,Sam cheated Sally but,she did not cry.,Sally,Sam
Sam cheated Sally but she did not repent.,she,Sam cheated Sally but,she did not repent.,Sally,Sam
Keith fired Blaine but he did not regret.,he,Keith fired Blaine but,he did not regret.,Keith,Blaine
Keith fired Blaine even though he is diligent.,he,Keith fired Blaine even though,he is diligent.,Keith,Blaine
The storm delayed the flight as it was very dangerous.,it,The storm delayed the flight as,it was very dangerous.,The storm,the flight
The storm delayed the flight as it was going over the ocean.,it,The storm delayed the flight as,it was going over the ocean.,The storm,the flight
John flicked Bill because he saw a fly on his shirt.,he,John flicked Bill because,he saw a fly on his shirt.,John,Bill
John flicked Bill because he had a fly on his shirt.,he,John flicked Bill because,he had a fly on his shirt.,John,Bill
The zombies chased the survivors because they were hungry.,they,The zombies chased the survivors because,they were hungry.,The zombies,the survivors
The zombies chased the survivors because they were tasty.,they,The zombies chased the survivors because,they were tasty.,The zombies,the survivors
Medvedev will cede the presidency to Putin because he is more popular.,he,Medvedev will cede the presidency to Putin because,he is more popular.,Medvedev,Putin
Medvedev will cede the presidency to Putin because he is less popular.,he,Medvedev will cede the presidency to Putin because,he is less popular.,Medvedev,Putin
The master rewarded the dog because he was a good owner.,he,The master rewarded the dog because,he was a good owner.,The master,the dog
The master rewarded the dog because he was a good companion.,he,The master rewarded the dog because,he was a good companion.,The master,the dog
The cat broke the glass because it was fragile.,it,The cat broke the glass because,it was fragile.,The cat,the glass
The cat broke the glass because it was clumsy.,it,The cat broke the glass because,it was clumsy.,The cat,the glass
Bill returned Jim twenty dollars because he borrowed money.,he,Bill returned Jim twenty dollars because,he borrowed money.,Bill,Jim
Bill returned Jim twenty dollars because he lent money.,he,Bill returned Jim twenty dollars because,he lent money.,Bill,Jim
The red team defeated the blue team because they made the last penalty kick.,they,The red team defeated the blue team because,they made the last penalty kick.,The red team,the blue team
The red team defeated the blue team because they missed the last penalty kick.,they,The red team defeated the blue team because,they missed the last penalty kick.,The red team,the blue team
Jack pushed John up the hill because he was in a wheelbarrow.,he,Jack pushed John up the hill because,he was in a wheelbarrow.,Jack,John
Jack pushed John up the hill because he is a good samaritan.,he,Jack pushed John up the hill because,he is a good samaritan.,Jack,John
The bespeckled old man slowly waved at the passing trolley passenger because he waves at everybody.,he,The bespeckled old man slowly waved at the passing trolley passenger because,he waves at everybody.,The bespeckled old man,the passing trolley passenger
The bespeckled old man slowly waved at the passing trolley passenger because he waved at him.,he,The bespeckled old man slowly waved at the passing trolley passenger because,he waved at him.,The bespeckled old man,the passing trolley passenger
The boy ran from the cop because he committed the crime.,he,The boy ran from the cop because,he committed the crime.,The boy,the cop
The boy ran from the cop because he saw the crime.,he,The boy ran from the cop because,he saw the crime.,The boy,the cop
The cap fell off the bottle because it was pressurized.,it,The cap fell off the bottle because,it was pressurized.,The cap,the bottle
The cap fell off the bottle because it was untwisted.,it,The cap fell off the bottle because,it was untwisted.,The cap,the bottle
"The boy tried to address his friend, but he could not speak.",he,"The boy tried to address his friend, but",he could not speak.,The boy,his friend
"The boy tried to address his friend, but he could not hear.",he,"The boy tried to address his friend, but",he could not hear.,The boy,his friend
A biker sped past an officer and he turned on his siren.,he,A biker sped past an officer and,he turned on his siren.,A biker,an officer
A biker sped past an officer and he got away.,he,A biker sped past an officer and,he got away.,A biker,an officer
"The car hop brought the man his tray, but he forgot his french fries.",he,"The car hop brought the man his tray, but",he forgot his french fries.,The car hop,the man
"The car hop brought the man his tray, but he was not in the car.",he,"The car hop brought the man his tray, but",he was not in the car.,The car hop,the man
The environmentalists were angry at the corporation because they had ignored their proposal.,they,The environmentalists were angry at the corporation because,they had ignored their proposal.,The environmentalists,the corporation
The environmentalists were angry at the corporation because they saw them polluting the creek.,they,The environmentalists were angry at the corporation because,they saw them polluting the creek.,The environmentalists,the corporation
The magician pulled a rabbit out of his hat.,his,The magician pulled a rabbit out of,his hat.,The magician,a rabbit
The magician pulled a rabbit out of his cage.,his,The magician pulled a rabbit out of,his cage.,The magician,a rabbit
Steve threw the bowling ball down the lane when it returned.,it,Steve threw the bowling ball down the lane when,it returned.,the bowling ball,the lane
Steve threw the bowling ball down the lane when it was clear.,it,Steve threw the bowling ball down the lane when,it was clear.,the bowling ball,the lane
The hippo ate the food the trainer brought when he put it in the trough.,he,The hippo ate the food the trainer brought when,he put it in the trough.,The hippo,the trainer
The hippo ate the food the trainer brought when he was hungry.,he,The hippo ate the food the trainer brought when,he was hungry.,The hippo,the trainer
"When the preschoolers visited the senior citizens, they were surprisingly well behaved.",they,"When the preschoolers visited the senior citizens,",they were surprisingly well behaved.,the preschoolers,the senior citizens
"When the preschoolers visited the senior citizens, they were very hospitable.",they,"When the preschoolers visited the senior citizens,",they were very hospitable.,the preschoolers,the senior citizens
The junior football team likes the Dallas Cowboys because they are an inspiration.,they,The junior football team likes the Dallas Cowboys because,they are an inspiration.,The junior football team,the Dallas Cowboys
The junior football team likes the Dallas Cowboys because they get to watch quality football.,they,The junior football team likes the Dallas Cowboys because,they get to watch quality football.,The junior football team,the Dallas Cowboys
Jimbo eats more than Bobbert because he is on a diet.,he,Jimbo eats more than Bobbert because,he is on a diet.,Jimbo,Bobbert
Jimbo eats more than Bobbert because he is not on a diet.,he,Jimbo eats more than Bobbert because,he is not on a diet.,Jimbo,Bobbert
The cougar tried to befriend the rabbit because it had a bad reputation as an evil predator.,it,The cougar tried to befriend the rabbit because,it had a bad reputation as an evil predator.,The cougar,the rabbit
The cougar tried to befriend the rabbit because it was loved by everybody.,it,The cougar tried to befriend the rabbit because,it was loved by everybody.,The cougar,the rabbit
Kevin stared at Michael and he got angry.,he,Kevin stared at Michael and,he got angry.,Kevin,Michael
Kevin stared at Michael and he got his attention.,he,Kevin stared at Michael and,he got his attention.,Kevin,Michael
The cabbage was in the freezer and it became frozen.,it,The cabbage was in the freezer and,it became frozen.,The cabbage,the freezer
The cabbage was in the freezer and it became full.,it,The cabbage was in the freezer and,it became full.,The cabbage,the freezer
David hit Bill because Mary really liked him.,him,David hit Bill because Mary really liked,him.,David,Bill
David hit Bill because Mary asked him to.,him,David hit Bill because Mary asked,him to.,David,Bill
England won the bid over Spain because they prepared better.,they,England won the bid over Spain because,they prepared better.,England,Spain
England won the bid over Spain because they did not prepare thoroughly.,they,England won the bid over Spain because,they did not prepare thoroughly.,England,Spain
Caroline quickly defeated Sue because she regained her confidence.,she,Caroline quickly defeated Sue because,she regained her confidence.,Caroline,Sue
Caroline quickly defeated Sue because she lost her confidence.,she,Caroline quickly defeated Sue because,she lost her confidence.,Caroline,Sue
Firefox is used more than Internet Explorer because it is more stable.,it,Firefox is used more than Internet Explorer because,it is more stable.,Firefox,Internet Explorer
Firefox is used more than Internet Explorer because it is less stable.,it,Firefox is used more than Internet Explorer because,it is less stable.,Firefox,Internet Explorer
Students hate exams because they are lazy.,they,Students hate exams because,they are lazy.,Students,exams
Students hate exams because they are tedious.,they,Students hate exams because,they are tedious.,Students,exams
Gary envied Bill because he was rich.,he,Gary envied Bill because,he was rich.,Gary,Bill
Gary envied Bill because he was poor.,he,Gary envied Bill because,he was poor.,Gary,Bill
The company accepted the resolution because it was well-written.,it,The company accepted the resolution because,it was well-written.,The company,the resolution
The company accepted the resolution because it was desperate.,it,The company accepted the resolution because,it was desperate.,The company,the resolution
"Paper beats rock, but it is beaten by scissors.",it,"Paper beats rock, but",it is beaten by scissors.,Paper,rock
"Paper beats rock, but it is able to beat scissors.",it,"Paper beats rock, but",it is able to beat scissors.,Paper,rock
The teacher told the student that he needed to practice.,he,The teacher told the student that,he needed to practice.,The teacher,the student
The teacher told the student that he expected something better from him.,he,The teacher told the student that,he expected something better from him.,The teacher,the student
Mr. Sanders gave James a promotion because he has done good work.,he,Mr. Sanders gave James a promotion because,he has done good work.,Mr. Sanders,James
Mr. Sanders gave James a promotion because he appreciated his good work.,he,Mr. Sanders gave James a promotion because,he appreciated his good work.,Mr. Sanders,James
The coach told the captain that he was proud of him.,he,The coach told the captain that,he was proud of him.,The coach,the captain
The coach told the captain that he was fired.,he,The coach told the captain that,he was fired.,The coach,the captain
Luigi rescued Mario because he was in trouble.,he,Luigi rescued Mario because,he was in trouble.,Luigi,Mario
Luigi rescued Mario because he was the only one who can.,he,Luigi rescued Mario because,he was the only one who can.,Luigi,Mario
Planet Express was bought out by Mom's Friendly Delivery Service so they can no longer be a threat.,they,Planet Express was bought out by Mom's Friendly Delivery Service so,they can no longer be a threat.,Planet Express,Mom's Friendly Delivery Service
Planet Express was bought out by Mom's Friendly Delivery Service so they can eliminate the competition.,they,Planet Express was bought out by Mom's Friendly Delivery Service so,they can eliminate the competition.,Planet Express,Mom's Friendly Delivery Service
The squirrels buried the nuts so they would not lose them.,they,The squirrels buried the nuts so,they would not lose them.,The squirrels,the nuts
The squirrels buried the nuts so they would not get lost.,they,The squirrels buried the nuts so,they would not get lost.,The squirrels,the nuts
The jocks did not like the nerds because they were bullies.,they,The jocks did not like the nerds because,they were bullies.,The jocks,the nerds
The jocks did not like the nerds because they were losers.,they,The jocks did not like the nerds because,they were losers.,The jocks,the nerds
The spider ate the fly because he was hungry.,he,The spider ate the fly because,he was hungry.,The spider,the fly
The spider ate the fly because he looked tasty.,he,The spider ate the fly because,he looked tasty.,The spider,the fly
The nurse gave the girl a lollypop so that she would stop crying.,she,The nurse gave the girl a lollypop so that,she would stop crying.,The nurse,the girl
The nurse gave the girl a lollypop because she had too many.,she,The nurse gave the girl a lollypop because,she had too many.,The nurse,the girl
The police officer chased the thief because he was stealing from the bank.,he,The police officer chased the thief because,he was stealing from the bank.,The police officer,the thief
The police officer chased the thief because he was protecting the bank.,he,The police officer chased the thief because,he was protecting the bank.,The police officer,the thief
The mechanic charged the man one hundred dollars although he had done no work.,he,The mechanic charged the man one hundred dollars although,he had done no work.,The mechanic,the man
The mechanic charged the man one hundred dollars although he only had eighty dollars.,he,The mechanic charged the man one hundred dollars although,he only had eighty dollars.,The mechanic,the man
"The cat looked at the big dog, and it was terrified.",it,"The cat looked at the big dog, and",it was terrified.,The cat,the big dog
"The cat looked at the big dog, and it barked menacingly.",it,"The cat looked at the big dog, and",it barked menacingly.,The cat,the big dog
"Batman caught the thief, and he plead innocence.",he,"Batman caught the thief, and",he plead innocence.,Batman,the thief
"Batman caught the thief, and he recovered the stolen diamonds.",he,"Batman caught the thief, and",he recovered the stolen diamonds.,Batman,the thief
"The Emancipation Proclamation made slavery illegal, but it was still practiced.",it,"The Emancipation Proclamation made slavery illegal, but",it was still practiced.,The Emancipation Proclamation,slavery
"The Emancipation Proclamation made slavery illegal, but it did not actually cause many slaves to be freed.",it,"The Emancipation Proclamation made slavery illegal, but",it did not actually cause many slaves to be freed.,The Emancipation Proclamation,slavery
It annoyed Chris when Sebastian jangled his keys because he was in a bad mood.,he,It annoyed Chris when Sebastian jangled his keys because,he was in a bad mood.,Chris,Sebastian
It annoyed Chris when Sebastian jangled his keys because he wanted to make fun.,he,It annoyed Chris when Sebastian jangled his keys because,he wanted to make fun.,Chris,Sebastian
Sam helped Davey fortify their bunker because he thought the Mexicans were invading.,he,Sam,helped Davey fortify their bunker because he thought the Mexicans were invading.,Sam,Davey
Sam helped Davey fortify their bunker because he wanted to be a good friend.,he,Sam,helped Davey fortify their bunker because he wanted to be a good friend.,Sam,Davey
"Fred drove to Mack's tire shop, and he bought a tire.",he,"Fred drove to Mack's tire shop, and",he bought a tire.,Fred,Mack
"Fred drove to Mack's tire shop, and he sold a tire.",he,"Fred drove to Mack's tire shop, and",he sold a tire.,Fred,Mack
"Randy went to Nick's store, and bought his groceries.",his,"Randy went to Nick's store, and bought",his groceries.,Randy,Nick
"Randy went to Nick's store, and looked at his groceries.",his,"Randy went to Nick's store, and looked at",his groceries.,Randy,Nick
"Henry changed Jack's oil, because he gave him money.",he,"Henry changed Jack's oil, because",he gave him money.,Henry,Jack
"Henry changed Jack's oil, because he needed money.",he,"Henry changed Jack's oil, because",he needed money.,Henry,Jack
"Bob cooked omelets for Jack, because he knew how.",he,"Bob cooked omelets for Jack, because",he knew how.,Bob,Jack
"Bob cooked omelets for Jack, because he was hungry.",he,"Bob cooked omelets for Jack, because",he was hungry.,Bob,Jack
John bought a beer for Bill because he likes cool guys.,he,John bought a beer for Bill because,he likes cool guys.,John,Bill
John bought a beer for Bill because he is cool.,he,John bought a beer for Bill because,he is cool.,John,Bill
Gartok defeated Grognak because he was the stronger man.,he,Gartok defeated Grognak because,he was the stronger man.,Gartok,Grognak
Gartok defeated Grognak because he was puny and weak.,he,Gartok defeated Grognak because,he was puny and weak.,Gartok,Grognak
Shawn hit Joe but he did not scream.,he,Shawn hit Joe but,he did not scream.,Shawn,Joe
Shawn hit Joe but he did not apologize.,he,Shawn hit Joe but,he did not apologize.,Shawn,Joe
Katie accused Jane but she was not found guilty.,she,Katie accused Jane but,she was not found guilty.,Katie,Jane
Katie accused Jane but she felt badly about it.,she,Katie accused Jane but,she felt badly about it.,Katie,Jane
Sherry called Karla but she did not answer.,she,Sherry called Karla but,she did not answer.,Sherry,Karla
Sherry called Karla but she later regretted it.,she,Sherry called Karla but,she later regretted it.,Sherry,Karla
Steven assassinated the president because he was a too liberal.,he,Steven assassinated the president because,he was a too liberal.,Steven,the president
Steven assassinated the president because he was paid to do it.,he,Steven assassinated the president because,he was paid to do it.,Steven,the president
The wolves ate the cows because they were hungry.,they,The wolves ate the cows because,they were hungry.,The wolves,the cows
The wolves ate the cows because they were delicious.,they,The wolves ate the cows because,they were delicious.,The wolves,the cows
Michael backed Bill because John really liked him.,him,Michael backed Bill because John really liked,him.,Michael,Bill
Michael backed Bill because John asked him to.,him,Michael backed Bill because John asked,him to.,Michael,Bill
"Johnson wanted to make friendship with David, because he is well connected.",he,"Johnson wanted to make friendship with David, because",he is well connected.,Johnson,David
"Johnson wanted to make friendship with David, because he wanted help.",he,"Johnson wanted to make friendship with David, because",he wanted help.,Johnson,David
The company declared bonus for the employees because they made huge profits.,they,The company declared bonus for the employees because,they made huge profits.,The company,the employees
The company declared bonus for the employees because they worked hard.,they,The company declared bonus for the employees because,they worked hard.,The company,the employees
The school denied parents parking permits because they did not want the parking lots to be over crowded with cars.,they,The school denied parents parking permits because,they did not want the parking lots to be over crowded with cars.,The school,parents
The school denied parents parking permits because they violated parking rules.,they,The school denied parents parking permits because,they violated parking rules.,The school,parents
Joe slapped Jose in the face because he cussed him out.,he,Joe slapped Jose in the face because,he cussed him out.,Joe,Jose
Joe slapped Jose in the face because he was angry.,he,Joe slapped Jose in the face because,he was angry.,Joe,Jose
Stephanie gave Brandy flowers because she had a lot of them.,she,Stephanie gave Brandy flowers because,she had a lot of them.,Stephanie,Brandy
Stephanie gave Brandy flowers because she was sick.,she,Stephanie gave Brandy flowers because,she was sick.,Stephanie,Brandy
The team decided to cancel their relations with AT&T Corporate because they ran out of money.,they,The team decided to cancel their relations with AT&T Corporate because,they ran out of money.,The team,AT&T Corporate
The team decided to cancel their relations with AT&T Corporate because they are arrogant.,they,The team decided to cancel their relations with AT&T Corporate because,they are arrogant.,The team,AT&T Corporate
John chose Bill because he was choosing.,he,John chose Bill because,he was choosing.,John,Bill
John chose Bill because he was the best choice.,he,John chose Bill because,he was the best choice.,John,Bill
John thanked Bill because he had needed help.,he,John thanked Bill because,he had needed help.,John,Bill
John thanked Bill because he was helpful.,he,John thanked Bill because,he was helpful.,John,Bill
John ridiculed Bill because he liked to look down upon others.,he,John ridiculed Bill because,he liked to look down upon others.,John,Bill
John ridiculed Bill because he acted like a fool.,he,John ridiculed Bill because,he acted like a fool.,John,Bill
John disliked Bill and he did not pick him.,he,John disliked Bill and,he did not pick him.,John,Bill
"John disliked Bill, but he did not know.",he,"John disliked Bill, but",he did not know.,John,Bill
Godzilla will stomp all over Tokyo if it rises from the ocean.,it,Godzilla will stomp all over Tokyo if,it rises from the ocean.,Godzilla,Tokyo
Godzilla will stomp all over Tokyo if it does not build better defenses.,it,Godzilla will stomp all over Tokyo if,it does not build better defenses.,Godzilla,Tokyo
The grandmother threw her granddaughter to her death because she felt jealous.,she,The grandmother threw her granddaughter to her death because,she felt jealous.,The grandmother,her granddaughter
The grandmother threw her granddaughter to her death because she would not stop screaming.,she,The grandmother threw her granddaughter to her death because,she would not stop screaming.,The grandmother,her granddaughter
"Bob Marley shot the sheriff, but he swears it was in self-defense.",he,"Bob Marley shot the sheriff, but",he swears it was in self-defense.,Bob Marley,the sheriff
"Bob Marley shot the sheriff, but he survived.",he,"Bob Marley shot the sheriff, but",he survived.,Bob Marley,the sheriff
The mother punishes the daughter because she was disobedient.,she,The mother punishes the daughter because,she was disobedient.,The mother,the daughter
The mother punished the daughter because she was provoked.,she,The mother punished the daughter because,she was provoked.,The mother,the daughter
The teachers failed the students because they answered the test incorrectly.,they,The teachers failed the students because,they answered the test incorrectly.,The teachers,the students
The teachers failed the students because they graded the test incorrectly.,they,The teachers failed the students because,they graded the test incorrectly.,The teachers,the students
The river destroyed the bridge because it was high.,it,The river destroyed the bridge because,it was high.,The river,the bridge
The river destroyed the bridge because it was low.,it,The river destroyed the bridge because,it was low.,The river,the bridge
The army crossed the river because it was shallow.,it,The army crossed the river because,it was shallow.,The army,the river
The army crossed the river because it was retreating.,it,The army crossed the river because,it was retreating.,The army,the river
"The young up-and-comer destroyed the old veteran Star in the shootout, so he got benched for the rest of the season.",he,"The young up-and-comer destroyed the old veteran Star in the shootout, so",he got benched for the rest of the season.,The young up-and-comer,the old veteran Star
"The young up-and-comer destroyed the old veteran Star in the shootout, so he got placed on the starting line for the rest of the season.",he,"The young up-and-comer destroyed the old veteran Star in the shootout, so",he got placed on the starting line for the rest of the season.,The young up-and-comer,the old veteran Star
Monkeys hate lions because they eat them.,they,Monkeys hate lions because,they eat them.,Monkeys,lions
Monkeys hate lions because they are scary.,they,Monkeys hate lions because,they are scary.,Monkeys,lions
The sword was stuck in the tree because it was wedged in there really well.,it,The sword was stuck in the tree because,it was wedged in there really well.,The sword,the tree
The sword was stuck in the tree because it grew up around it.,it,The sword was stuck in the tree because,it grew up around it.,The sword,the tree
"In last week's tennis match, Djokovic imitated Roddick's serve because he was the better player.",he,"In last week's tennis match, Djokovic imitated Roddick's serve because",he was the better player.,Djokovic,Roddick
"In last week's tennis match, Djokovic imitated Roddick's serve because he was funny.",he,"In last week's tennis match, Djokovic imitated Roddick's serve because",he was funny.,Djokovic,Roddick
